"Evaluation Overview, all Databases, Test Series LARGE"
QueryScenario,Phase,"sqlite4java","SQLite-Xerial","PostgreSQL","Virtuoso","MongoDB"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"Error"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"Error"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"Error"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"Error"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"Error"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"Error"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"Error"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"Error"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"182.81"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"46883.74"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"6.67"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"2.54"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"Error"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"Error"

"Evaluation Details for MongoDB, Version 3.0.6, Test Series LARGE"
QueryScenario,Phase,First time,Average time,Min time,Max time
Set up,,"5.30"
Load,,"1931647.08"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"36047.30"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"2808.91","2604.03","2459.08","2808.91"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"32303.63"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"24500.49","24540.70","24500.06","24500.49"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"32706.44"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"244180.98","246033.26","244180.98","247579.24"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"0.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"9732.69","9599.36","9519.92","9732.69"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"0.00"
